c1,c2,c3,mu_c,alpha,beta,sigma_c,sigma,s_m_n1,s_m_n2,s_m_n3
0.54326,2.4349,0.698511,2.88861,0.30315,0.994604,2.7748,0.604488,1.09503,0.844088,8.11417
0.840927,4.10428,0.749252,3.84243,0.30725,0.993215,1.917,0.624828,0.749224,0.390451,17.1575
0.913091,4.52335,0.377931,2.92503,0.302224,0.992689,2.25617,0.606324,1.24494,0.271654,11.269
0.958561,4.85371,-0.16089,2.82169,0.283659,0.990186,2.35038,0.624709,1.16286,0.471216,10.8243
1.10708,4.97307,0.0571228,2.62695,0.27812,0.980456,1.9034,0.610591,1.0656,0.367294,4.25653
1.07953,4.47452,0.299217,2.92975,0.28861,0.997788,2.26793,0.622127,1.73518,1.18069,13.8557
0.976578,3.04773,0.959997,2.34361,0.295766,0.994982,1.8858,0.615669,1.31155,0.3895,14.1302
0.772508,2.68282,1.01916,2.38889,0.308035,0.980978,2.22049,0.603473,1.04518,0.218096,9.07586
0.851898,3.07114,0.642729,3.77047,0.284534,0.997816,2.2799,0.628487,0.835608,0.558987,17.5531
0.829905,2.63646,0.484429,3.10658,0.304096,0.98588,2.03072,0.621951,0.870599,0.127188,15.7531
0.978575,3.17191,0.265754,3.29423,0.287177,0.995079,2.18605,0.6346,0.663831,0.32077,16.8942
0.800494,2.16607,0.560971,2.69038,0.310791,0.99643,2.05355,0.626625,0.728199,0.181364,20.8456
0.715418,2.30813,0.813409,3.74996,0.28268,0.978264,2.24307,0.637858,1.85761,0.956245,8.83025
0.81722,2.75853,0.411168,2.5179,0.303798,0.981866,2.02062,0.621004,1.85194,1.44288,4.57613
0.50028,1.8748,1.11165,3.9218,0.299265,0.998797,2.40485,0.621658,0.74889,0.168375,15.1845
0.397597,2.04737,1.33713,3.26131,0.283804,0.999252,2.83395,0.622524,0.745524,0.301782,26.3412
0.342662,1.52302,1.1646,2.67249,0.297128,0.99191,2.58359,0.622807,1.09969,0.391437,8.84229
0.227045,1.39153,1.21368,2.8574,0.284338,0.984806,2.38874,0.628493,0.952486,0.346037,8.1582
0.121689,1.05804,1.48067,3.16602,0.289702,0.988592,2.92048,0.619595,1.02889,0.772443,9.91948
0.143649,1.08803,1.48171,3.58496,0.284589,0.986217,3.02259,0.621782,1.21863,0.389766,10.7873
0.0761171,1.03305,1.47828,3.60921,0.286189,0.985189,2.84046,0.62184,1.24818,0.320581,10.6599
0.270879,2.02779,1.79203,2.4014,0.28462,0.992693,1.36512,0.618705,1.10592,0.518648,20.868
0.415046,2.84616,1.20136,2.92703,0.29075,0.991576,2.62675,0.627188,0.965986,0.477886,12.1089
0.344733,3.71592,0.899831,2.53121,0.297906,0.978441,1.99589,0.614071,1.28925,0.779851,21.5751
-0.178889,1.76335,1.47844,1.64948,0.28155,0.987846,2.34455,0.613859,0.93461,0.594617,10.2702
-0.246487,2.51991,1.15077,4.9304,0.289825,0.993211,2.68526,0.615616,1.17409,0.102222,17.3186
-0.223651,3.16653,1.35457,2.88451,0.286763,0.987641,2.2985,0.613874,1.16504,0.514445,16.4472
-0.0315228,3.38933,1.43116,2.21802,0.296728,0.992247,2.83305,0.634153,1.02966,0.471342,12.9486
0.341056,3.92788,-0.104055,1.7807,0.291784,0.98599,2.3481,0.603373,1.43068,0.919668,13.9612
-0.0138504,2.94665,0.696988,0.842144,0.303168,0.990852,3.40733,0.633716,0.920685,0.540464,14.8772
0.0336959,2.38287,0.837975,0.901088,0.286416,0.985621,2.64486,0.605736,1.09009,0.202336,7.62412
0.183758,2.64818,0.735922,0.850983,0.294166,0.986131,2.64824,0.599595,0.883662,0.70634,7.11344
0.263773,2.59402,0.516714,2.11628,0.295162,0.988053,2.60574,0.63187,1.08832,0.0278987,4.35963
0.16251,2.86557,0.84368,2.04426,0.283232,0.968517,2.66085,0.622152,0.780182,0.0275291,6.66899
0.016848,2.41919,0.794455,3.64485,0.296479,0.991203,1.58774,0.621072,1.06641,0.679816,26.5017
0.0351834,2.44012,1.00558,2.48713,0.283758,0.987031,1.61089,0.628131,0.982385,0.231982,5.80294
0.406766,2.87072,0.257305,3.96306,0.29584,0.982463,2.51809,0.614465,1.0501,0.510519,33.045
0.517336,2.50653,0.830755,3.9259,0.28897,0.966969,2.4302,0.621985,1.19547,0.706526,34.5483
0.774844,3.42791,0.375355,2.26125,0.296971,0.995728,1.80991,0.624289,0.66235,0.375157,6.95063
0.862686,2.99328,0.381272,3.50968,0.278031,0.984753,2.33736,0.616463,1.03767,0.582171,7.70754
0.751009,2.44495,1.16257,3.36759,0.309143,0.99816,2.20508,0.622538,0.936624,0.348534,24.8636
