c1,c2,c3,mu_c,alpha,beta,sigma_c,sigma,s_m_n1,s_m_n2,s_m_n3
0.464414,2.52069,0.502972,3.52531,0.301805,0.997131,3.17892,0.620057,0.917745,0.600007,6.09002
0.457566,3.49843,0.574135,2.57661,0.291197,0.99707,1.76429,0.620655,0.785673,0.169242,30.4036
0.630874,3.10015,0.466297,4.29267,0.292852,0.985388,2.45345,0.615347,0.709017,0.092738,6.46929
0.202593,1.91607,1.58326,2.59505,0.294958,0.985319,2.85504,0.61385,1.44539,1.15625,13.7133
0.183382,2.45214,1.58397,2.91245,0.289621,0.993847,2.46363,0.620883,1.08861,0.363326,21.3151
0.156382,1.57183,1.43662,1.99029,0.28952,0.989543,2.92539,0.618437,1.15514,0.722625,11.7875
0.290216,2.42285,1.03798,3.74518,0.275221,0.978089,2.64817,0.615143,0.682109,0.34993,19.6373
0.286232,3.00885,1.17959,2.84896,0.27678,0.96409,2.21707,0.600397,0.989549,0.607894,3.0171
0.283583,1.89226,1.01304,3.01299,0.295523,0.995336,1.95495,0.621619,0.745879,0.331794,29.3932
0.334849,1.83343,1.05446,3.09788,0.295943,0.995201,2.00887,0.621253,0.775935,0.30051,27.5048
0.337025,2.52745,1.05539,2.39718,0.299463,0.994793,1.95904,0.612714,0.909695,0.561776,5.4529
0.247146,2.48682,0.841797,3.46217,0.309103,0.987822,2.20469,0.617316,0.913951,0.710552,5.6579
0.187887,2.47625,1.24346,3.29467,0.276113,0.985912,1.64603,0.619564,0.833672,0.530274,9.23142
0.380006,2.84492,0.473283,3.65135,0.292396,0.983413,2.04433,0.607096,1.06634,0.439021,14.7751
0.77356,4.14594,0.483532,2.65554,0.313231,0.993246,2.50327,0.636652,0.730259,0.303239,18.5878
0.810326,4.38377,0.554774,2.5378,0.314172,0.993164,2.52477,0.635788,0.788603,0.356114,19.7869
0.841631,4.09486,0.431715,2.41012,0.317639,0.99272,2.3896,0.641874,0.910915,0.49224,18.6386
0.600903,3.48371,0.539832,3.25258,0.287334,0.979886,2.21909,0.620412,1.30411,0.909701,14.5427
0.0341733,1.50593,1.71015,3.47737,0.297237,0.989019,2.02521,0.630225,0.694809,0.350728,10.193
0.444729,1.85838,1.11797,3.04306,0.284983,0.995049,1.6207,0.606438,0.828574,0.103319,20.139
0.54418,2.26022,0.817302,2.89175,0.293725,0.992552,1.85947,0.609207,0.705571,0.0602778,4.74965
0.659327,2.59701,0.496566,3.47484,0.308568,0.988634,2.2815,0.633686,1.29137,1.12914,5.49304
0.325575,2.56737,0.867705,2.88368,0.28953,0.989827,2.33943,0.602337,0.711233,0.433966,20.847
0.346865,2.71129,1.06407,2.66063,0.300092,0.991658,2.30589,0.616265,0.674614,0.260622,11.3122
0.693404,4.69786,0.322216,2.37088,0.29615,0.994041,2.50207,0.601802,1.10815,0.781915,18.0539
0.66382,5.15457,0.312917,1.35062,0.290394,0.993186,1.93303,0.602521,1.48365,1.06216,17.4859
0.658876,4.61952,0.672609,4.88582,0.283925,0.981978,2.33655,0.618975,0.968234,0.521456,12.2097
0.870029,4.32951,0.576292,2.96755,0.298859,0.995591,2.66825,0.60999,1.22513,0.828916,8.52071
0.580053,3.46485,0.567387,3.19719,0.276269,0.974874,1.70925,0.629475,1.14371,0.554592,16.7384
0.584095,3.71486,0.722781,3.0298,0.275464,0.972162,1.79501,0.631239,1.10816,0.470491,16.7384
0.423521,3.254,0.971616,3.3972,0.287576,0.989872,2.21081,0.627546,0.820103,0.536995,17.6146
0.604841,4.0222,0.751935,2.78462,0.283682,0.976266,1.85983,0.620473,1.08164,0.616994,9.86013
0.558744,3.64857,0.978824,3.38592,0.283436,0.986108,1.58512,0.613889,0.898914,0.468502,10.888
0.674404,3.97029,0.528695,3.62353,0.281975,0.993411,1.46401,0.596342,1.0255,0.459707,11.1248
0.57294,2.89043,0.81489,2.68868,0.283369,0.998197,1.50568,0.61359,0.998723,0.594927,22.8444
0.666028,1.84471,0.528259,2.5442,0.294202,0.979611,2.8837,0.612302,1.14537,0.796393,10.5646
0.5633,3.66123,1.06985,3.41153,0.302127,0.996694,1.64014,0.60829,0.962918,0.608766,24.1701
0.673604,3.41013,0.333683,2.73599,0.294386,0.991965,2.35612,0.61948,1.07876,0.698586,7.10579
0.749347,2.90842,0.278099,3.0328,0.302646,0.985406,2.28407,0.621323,0.87532,0.583289,15.7111
0.712243,2.59003,-0.251562,3.48022,0.293749,0.993203,1.70754,0.612483,0.907492,0.53744,13.702
0.653792,2.50841,0.588414,2.53685,0.295325,0.982962,2.26745,0.607682,1.07674,0.641976,0.990083
0.766683,3.33653,0.616587,2.05005,0.287656,0.983425,2.39337,0.602506,1.31691,1.20755,4.26333
0.797137,3.06572,0.308858,2.29358,0.285562,0.986561,2.32587,0.609553,1.31038,0.991449,1.99764
0.903558,3.55196,0.134522,3.56164,0.283828,0.992116,1.91853,0.618471,0.862477,0.821817,3.21112
0.942769,3.1079,0.105215,2.73888,0.2726,0.993674,1.81935,0.620614,1.23841,0.649293,4.35644
0.480329,2.04675,0.799184,3.44788,0.283311,0.977996,1.87151,0.610781,0.938819,0.728541,6.2162
0.666665,2.96571,0.499025,2.57528,0.275923,0.988958,2.13054,0.601097,1.05977,0.784459,9.33667
0.639894,2.30895,0.351056,3.15173,0.289393,0.98802,2.32524,0.60194,0.89431,0.580237,9.08399
0.372965,2.03838,1.22297,3.09341,0.284733,0.98707,1.92969,0.614261,0.992502,0.658496,24.1799
0.47729,2.38639,1.15546,2.66784,0.292621,0.977529,1.8567,0.63222,1.13295,0.568202,9.38442
0.793972,1.89627,0.192016,3.06679,0.297683,0.992215,2.38612,0.616668,0.904621,0.458222,25.9052
0.582182,1.40317,0.614786,3.01202,0.294616,0.983046,1.87735,0.622771,1.73637,1.33344,9.17049
0.376974,1.8911,0.83669,3.22569,0.300581,0.982702,2.50143,0.613173,0.938154,0.658686,14.5701
0.377518,2.13795,0.372076,3.87981,0.293384,0.991482,2.66918,0.59951,1.24979,0.607875,18.705
0.369558,2.94015,0.684323,2.62073,0.307751,0.993409,1.80691,0.615887,1.27039,0.784368,12.5126
0.151061,1.92183,1.29229,2.38812,0.294404,0.996077,2.86087,0.615954,0.773629,0.248757,18.4544
0.222174,1.95571,1.16672,3.82764,0.309993,0.993132,1.90454,0.622612,1.14932,0.728438,16.0157
0.363919,1.71084,0.887939,3.02167,0.307972,0.983969,3.51176,0.615031,1.62016,1.34073,14.8465
0.551085,1.53828,1.11913,3.27936,0.299693,0.994038,1.47352,0.614918,1.01304,0.6483,17.8446
0.684201,2.88958,0.612683,2.83961,0.292447,0.984427,2.78937,0.614013,0.877355,0.284359,16.5818
0.526958,1.76086,0.497973,2.93487,0.296447,0.991543,1.52121,0.615887,1.20447,0.39667,10.6344
0.555511,2.16336,0.639816,3.40516,0.28776,0.993954,2.46909,0.616676,0.68049,0.436594,23.9816
0.439969,2.24196,0.642697,2.75747,0.290832,0.984108,1.6257,0.606934,1.07975,0.126497,8.69962
0.103273,2.09674,1.29111,3.0841,0.313034,0.993772,2.85258,0.618081,1.09583,0.854645,3.39544
0.20459,2.12064,1.19001,3.01585,0.290468,0.991502,1.57211,0.615296,0.94975,0.695364,18.182
0.881807,4.67872,-0.146589,3.57513,0.310688,0.990414,2.58323,0.623663,0.799516,0.215279,14.8758
0.764307,4.28048,1.00268,2.82341,0.299631,0.990021,1.899,0.636454,1.44464,0.553437,13.9931
0.777049,4.1678,0.715936,3.04064,0.293022,0.990171,1.86145,0.629322,1.07842,0.551359,6.68387
0.53267,3.14895,0.957329,2.98367,0.29146,0.992899,1.91219,0.614204,0.996792,0.754598,2.67141
0.781483,3.11908,1.02309,3.17178,0.292043,0.989666,2.32565,0.604653,0.747669,0.261815,35.2147
0.751878,3.64601,0.958738,4.39335,0.300022,0.9956,2.80613,0.625908,1.49672,0.721124,3.46891
1.03701,4.00693,0.662775,3.67675,0.28306,0.967173,3.21655,0.605365,1.42051,0.563091,17.3927
0.775849,3.64715,0.0925696,3.13682,0.298767,0.994503,2.89865,0.630199,0.613279,0.263425,13.3906
0.77179,3.70721,0.202937,3.46034,0.295134,0.985979,1.87442,0.622598,0.821845,0.407167,22.46
0.523876,2.31681,0.119927,3.14979,0.283729,0.994411,2.26682,0.629228,0.711279,0.421259,14.8634
0.573918,2.55125,0.110357,3.18042,0.289822,0.993616,2.4343,0.639676,0.707298,0.451652,17.4485
0.66776,2.68049,0.426507,2.0346,0.305719,0.990988,2.40442,0.614978,0.840658,0.497361,5.3284
0.945661,4.01495,0.232451,1.98276,0.298353,0.983645,2.50277,0.613711,1.41333,0.929778,6.92111
0.842544,3.79701,0.363617,2.02342,0.311024,0.993113,2.88466,0.610403,0.779322,0.452358,5.07818
0.844616,3.87772,0.150649,1.48765,0.297827,0.986546,2.31831,0.620478,0.861727,0.314027,6.7342
0.875789,4.17168,0.299168,2.96339,0.301346,0.997875,2.41436,0.60947,1.24739,0.974775,19.861
0.767748,3.57727,0.308761,3.93959,0.286966,0.990565,2.35937,0.616965,0.825769,0.320869,15.3157
0.827968,3.93892,0.0987864,2.87914,0.301176,0.986373,2.18616,0.617984,0.874223,0.230782,19.8187
0.342007,2.24417,1.4858,3.16461,0.293611,0.981072,1.83006,0.620507,0.766246,0.0212386,12.1448
0.269966,2.83181,1.69057,1.99468,0.288368,0.987014,1.33845,0.633645,0.630144,0.0223178,8.46419
0.325891,1.88259,1.16149,3.7445,0.279299,0.973127,2.22248,0.614866,0.905495,0.0365364,7.57892
0.306967,1.8638,1.04551,3.54311,0.28025,0.978443,2.2845,0.615099,0.911547,0.0292014,7.14127
0.502337,2.21766,0.867255,3.39551,0.294439,0.989402,2.10978,0.613169,1.18544,0.0435379,14.0909
0.519393,3.35776,0.635686,2.96601,0.303913,0.993132,2.17363,0.612166,1.07928,1.07403,1.6269
0.374278,2.41049,1.28882,3.5425,0.295876,0.991982,1.93716,0.610554,1.72578,1.72194,2.6942
0.0530373,1.81746,0.814625,2.91346,0.29951,0.984593,1.96773,0.629971,0.819529,0.727045,3.15085
0.0973104,1.05588,0.626541,3.06769,0.282711,0.989285,2.00849,0.615896,2.18871,1.21636,3.18606
0.14163,1.08193,0.895975,2.97883,0.283061,0.988761,1.78864,0.625348,2.30706,2.05611,1.89094
0.330557,1.79462,0.912923,2.67932,0.296583,0.977475,2.08506,0.610703,1.07278,0.966597,2.18469
0.153712,1.16443,1.12859,3.00025,0.297437,0.995989,1.67073,0.609645,1.22228,0.617309,25.0743
0.163231,1.87935,1.03108,3.99624,0.289724,0.985089,2.41236,0.59528,0.633918,0.258191,11.5041
0.2445,3.44485,1.01617,2.65034,0.299383,0.99273,1.96541,0.616684,1.44315,1.08145,18.1977
0.486626,3.99821,0.729277,2.87193,0.295529,0.987017,1.58112,0.601662,1.00623,0.71433,19.7111
0.685201,3.96911,0.0666766,2.26402,0.3026,0.993985,3.26872,0.619309,0.90134,0.486499,6.18484
0.577178,3.16671,0.6338,3.60136,0.312164,0.984081,2.09235,0.623322,1.19686,0.901769,14.4702
0.6242,3.72396,0.701319,3.69514,0.290406,0.986598,2.55936,0.609123,1.19939,0.88867,18.7105
0.523284,3.07874,1.07594,3.4424,0.286629,0.995987,2.24133,0.60691,0.853482,0.383388,12.2968
0.374225,2.68216,1.32138,2.75428,0.282124,0.967716,2.28132,0.622892,1.10925,0.480051,19.8049
0.315047,2.37492,1.12063,3.41677,0.284816,0.968958,1.97617,0.62569,0.80947,0.513279,12.4142
0.763885,3.34821,1.02937,2.3152,0.305644,0.998095,2.09673,0.605267,0.727005,0.0650192,12.1652
0.72082,3.59315,1.19904,2.50672,0.304465,0.998042,1.90516,0.608234,0.920262,0.101609,28.0085
0.98035,4.3007,0.344911,4.03233,0.292781,0.99196,2.59677,0.600306,0.98062,0.431665,8.9598
0.809094,3.82616,0.623302,3.94304,0.292185,0.997638,2.59844,0.616984,0.796063,0.481918,18.0855
0.712845,3.37635,0.78196,2.8287,0.296908,0.994971,2.31836,0.616188,1.09179,0.393059,9.79778
0.691117,3.40974,0.896513,2.8282,0.301288,0.988156,2.36956,0.611476,1.27163,0.577684,9.22893
0.757917,4.07619,0.979363,3.16644,0.300312,0.989061,2.6021,0.613704,1.42762,0.636916,14.0499
0.838362,3.7151,0.792628,3.57584,0.295772,0.993396,2.28847,0.622673,1.10094,0.772109,22.0081
0.530681,4.19701,1.43485,2.60493,0.294869,0.985761,2.04948,0.612526,1.02043,0.151691,9.53844
0.329692,3.45787,1.84933,2.97214,0.289242,0.989536,2.42072,0.628689,1.10747,0.682256,24.29
0.336944,3.07423,0.59894,2.52066,0.303358,0.990187,2.40956,0.610701,0.977928,0.658394,9.79779
0.203108,2.49548,1.02722,2.61657,0.297599,0.981361,2.5507,0.617273,1.21013,0.457374,17.6397
0.196169,2.48357,1.20272,2.22583,0.301092,0.974087,2.46974,0.61203,0.885169,0.267939,21.0954
0.456866,2.82494,0.885299,3.495,0.290372,0.997938,2.12788,0.621033,1.35961,0.578823,11.3859
0.532263,3.42097,0.79887,2.72207,0.299505,0.985753,2.32938,0.617444,0.888278,0.211543,22.3721
0.690831,4.02652,0.894664,2.93668,0.298225,0.989172,2.00196,0.634367,0.769245,0.377339,10.0199
0.858838,3.43404,0.128726,3.35684,0.290082,0.985878,1.80936,0.617378,0.678359,0.0988292,7.88089
0.60716,2.40309,0.334344,2.82948,0.298138,0.988831,2.03384,0.631352,0.531013,0.315084,3.53999
0.453953,2.24555,1.27582,4.1862,0.298783,0.995768,2.09368,0.611678,1.16704,0.622182,5.0557
0.535885,2.34921,0.995039,3.29288,0.306846,0.996063,2.19677,0.607475,0.804253,0.486184,14.5461
0.639269,3.21569,0.307147,2.82008,0.290149,0.996495,2.157,0.620869,0.872678,0.468786,19.3159
0.756455,3.31223,0.606271,3.48769,0.301594,0.979381,2.43005,0.608372,0.849059,0.324278,12.8894
0.968767,3.09626,-0.346762,2.74797,0.302541,0.996366,2.14497,0.640116,0.906156,0.290083,20.3563
0.901834,2.75502,-0.0483703,2.69833,0.306178,0.997371,2.27803,0.633498,0.877932,0.127387,23.2497
1.07482,3.4133,0.157569,2.50396,0.302363,0.98765,1.61475,0.612132,0.999258,0.380414,4.91536
1.22848,4.28164,-0.117808,4.12262,0.299917,0.990259,2.07871,0.63323,1.03151,0.387852,11.7406
0.809737,2.99961,0.425137,3.06435,0.308471,0.994135,2.89385,0.605801,1.0351,0.625509,7.15653
0.677412,2.68151,0.464851,3.53471,0.307289,0.983619,2.50646,0.627884,0.798795,0.334713,18.0685
0.856724,2.97083,0.286515,3.16934,0.312637,0.993188,1.66377,0.616508,0.647309,0.314758,11.8372
0.522388,1.94002,0.772796,3.30546,0.291011,0.990378,1.87526,0.614191,1.14207,0.723271,20.6375
0.514025,2.14637,0.580129,2.53717,0.305056,0.992596,1.84787,0.61854,1.22022,0.774039,19.0396
1.12376,4.19154,-0.162534,2.86618,0.276378,0.981214,3.00203,0.60535,0.858351,0.5669,5.15501
1.02679,4.90956,0.349214,1.97484,0.277603,0.978553,2.00039,0.613058,1.59568,1.24774,2.79739
1.00534,4.4929,0.526414,2.10831,0.28076,0.993442,1.87193,0.627031,1.38348,0.710775,16.6627
1.04838,4.73505,0.293982,2.70211,0.291233,0.988968,1.71683,0.628843,1.20355,0.367143,13.2966
1.02227,4.75081,0.261647,2.65641,0.290948,0.988959,1.70172,0.628849,1.21756,0.333248,13.8723
0.91153,4.44798,0.832903,3.22607,0.289086,0.990547,2.68834,0.612697,0.835695,0.203885,18.4477
0.866911,3.00673,0.100833,2.66731,0.292747,0.991799,1.56159,0.613126,0.942837,0.511161,15.3141
0.659592,2.002,0.570006,3.55865,0.288122,0.979305,1.90878,0.626051,1.02145,0.264267,25.0027
0.522609,2.25822,0.736371,2.85641,0.295,0.991137,1.76048,0.617881,1.00301,0.784142,6.14813
0.362503,2.77482,0.640364,3.41534,0.292932,0.991356,3.05014,0.599142,0.765156,0.428315,26.9824
0.787841,3.84498,0.0888132,2.96325,0.285232,0.987686,1.73627,0.627852,1.05527,0.904479,6.28601
0.748818,4.47553,0.0180807,2.65617,0.29439,0.969513,1.80895,0.608393,1.09834,0.650322,3.64561
0.354005,2.22945,1.23383,4.03263,0.301596,0.998053,2.66735,0.616014,0.849403,0.474939,4.53309
0.405242,2.53373,1.28846,2.78727,0.293819,0.988419,1.87665,0.619,1.15305,0.612742,28.8469
0.260081,2.42162,1.70575,3.36838,0.302404,0.985874,2.03546,0.604379,1.44371,1.02902,13.3329
0.358804,1.87931,1.68245,3.33464,0.302748,0.987839,1.99004,0.611615,0.835273,0.331022,14.8898
0.214881,1.6738,1.83636,3.21287,0.317528,0.989543,1.80015,0.617539,1.03885,0.0469181,16.6489
0.57687,3.85908,0.82842,2.20571,0.300575,0.995746,2.35379,0.629374,0.795283,0.104993,12.0368
0.425555,2.28481,0.914631,3.66715,0.294292,0.988267,1.80156,0.60907,0.669133,0.279113,7.23399
1.08149,3.99182,0.0104435,2.39735,0.297833,0.98872,2.93655,0.606911,1.31977,0.78035,7.66466
0.915861,3.48227,0.430598,3.65475,0.29556,0.98199,1.6901,0.615382,1.12016,0.75091,20.2193
0.902671,3.00377,0.30562,3.33457,0.297146,0.987037,2.03383,0.61697,1.28252,0.684302,16.8603
0.717176,2.68018,0.624545,2.63498,0.301898,0.98847,2.58155,0.613976,0.748686,0.264063,9.22631
1.14323,3.57963,0.411663,3.09787,0.286897,0.995358,2.38587,0.615279,1.28851,0.15762,1.91377
0.968914,3.24166,0.719722,3.04129,0.29458,0.995712,1.57799,0.616902,1.37324,0.401132,2.56308
0.976242,3.12384,1.06463,3.60997,0.292269,0.980832,1.93677,0.618727,1.40189,0.965618,0.745922
0.788442,3.7413,0.903935,2.52507,0.293534,0.991634,2.41962,0.610533,0.994004,0.596519,0.252425
0.770797,3.81349,0.98754,2.4372,0.296374,0.985052,2.13751,0.611019,1.07963,0.260653,0.271411
0.662527,2.15804,1.43955,3.57767,0.279539,0.993094,1.83482,0.614306,1.51148,0.871264,0.0671121
0.599619,0.990192,0.823434,2.11475,0.291427,0.986975,2.94169,0.613614,1.21165,0.811497,1.27112
0.708884,2.37043,0.659664,2.17867,0.31234,0.99065,2.47948,0.616245,1.05684,0.40782,4.21564
0.858834,3.29881,0.366462,3.72345,0.298515,0.992159,2.24808,0.621539,1.1127,1.04153,4.40533
0.590479,2.28647,0.482322,4.47185,0.308561,0.9917,2.5319,0.616128,1.24602,1.03649,0.978671
0.44421,2.94872,0.552473,2.46048,0.305767,0.992125,2.12341,0.619526,1.06579,0.967571,4.54239
0.418876,2.33982,0.793354,2.72482,0.286777,0.996353,2.17468,0.605782,1.51062,1.4925,2.90049
0.237261,2.39451,1.03108,3.53956,0.294662,0.998867,1.94884,0.611668,1.23507,0.912695,5.91366
0.287019,2.55656,1.0134,2.87838,0.281828,0.997362,1.73876,0.617522,0.997075,0.340131,7.05155
0.512327,3.71262,0.341366,3.50465,0.313152,0.989883,2.10989,0.626907,0.854902,0.553995,20.61
0.507065,4.05989,0.481629,2.71403,0.293437,0.995987,2.27395,0.630143,1.00472,0.504942,10.8217
0.504266,2.84276,0.376589,4.30252,0.31555,0.974347,2.28969,0.639557,0.611515,0.198443,8.03532
0.533724,3.1516,0.569609,4.86536,0.311673,0.991632,2.70008,0.642615,0.784924,0.279584,7.13608
0.144237,2.0747,1.13255,2.37974,0.297333,0.993109,2.46354,0.613797,0.928688,0.574572,21.1802
0.61183,3.57663,1.26564,3.93092,0.28938,0.987412,1.85483,0.629838,1.05841,0.517619,5.73131
0.452629,3.25859,1.26171,3.34485,0.304475,0.992437,1.68937,0.609267,1.25716,0.441095,3.78032
0.552867,4.1748,1.29135,3.30033,0.293668,0.998618,2.23857,0.616891,0.864102,0.507054,12.4487
0.519119,4.11368,1.12898,3.33182,0.318844,0.999114,2.30726,0.609005,1.50128,0.826781,21.3524
0.570272,3.27992,1.52706,3.18529,0.293212,0.998487,2.20449,0.632389,0.872977,0.34097,11.2698
0.715367,3.36936,0.734164,3.85665,0.307329,0.98359,2.0953,0.618074,0.633323,0.0636966,19.6311
0.768665,3.42238,0.673456,3.6849,0.305039,0.972202,2.15996,0.614429,0.524616,0.0609888,19.4246
0.775835,3.40204,0.825555,2.98709,0.300394,0.996293,2.54759,0.610956,0.724497,0.176156,12.6236
0.828778,3.7889,0.251051,2.92907,0.27926,0.984563,1.71607,0.608722,0.945613,0.695438,13.524
1.07324,3.91694,-0.159726,2.67285,0.290018,0.973503,2.04971,0.60487,0.821739,0.411832,2.87817
0.926135,3.66879,0.272318,2.89131,0.298369,0.995147,3.87756,0.618363,0.801637,0.438746,13.859
0.783009,3.86148,0.681495,3.7098,0.300599,0.987401,1.57535,0.614633,0.98187,0.416233,4.7599
0.830953,4.26406,0.603459,3.1106,0.301448,0.982095,2.14291,0.590265,0.90651,0.572741,9.30908
0.711698,4.17446,0.829975,2.93423,0.305046,0.982727,1.9536,0.590056,0.916266,0.582413,8.83487
0.319451,3.31904,1.42149,3.35609,0.28962,0.99395,2.20702,0.635371,1.52017,1.08223,13.1678
0.380662,3.34946,1.40699,3.04635,0.297585,0.991102,2.87031,0.613655,1.33559,0.846739,24.1015
0.538164,4.07783,1.15231,2.99283,0.291968,0.988495,1.72111,0.615032,0.89441,0.53359,11.8497
0.615816,2.85675,1.14133,1.98645,0.281115,0.988334,2.57081,0.618754,1.09872,0.603589,18.9728
0.542329,2.83858,0.923014,3.4618,0.304853,0.98913,2.6659,0.627313,0.598799,0.0595648,16.8669
0.515447,2.82243,1.06174,2.86239,0.301093,0.992122,2.87564,0.631479,0.671945,0.0370108,10.0277
0.537006,2.70958,1.06858,3.3549,0.305504,0.989665,2.33193,0.624403,0.752922,0.47762,17.5668
0.596672,3.78769,0.347704,4.13376,0.283251,0.998395,2.96959,0.601105,0.85567,0.346661,16.2392
0.548304,3.21831,0.352699,2.22271,0.304377,0.994115,1.85129,0.601404,0.802432,0.469702,10.5335
0.383757,2.85034,0.781663,3.69524,0.284236,0.983132,2.67261,0.631197,1.25363,1.00888,12.6427
0.500322,3.43288,0.78521,2.95417,0.297231,0.994194,2.26451,0.624366,1.31085,0.667372,13.7042
0.35414,2.88858,0.447833,2.01398,0.284105,0.972793,2.29446,0.614282,1.25247,0.52094,12.6486
0.500045,3.88344,1.01052,3.80328,0.320016,0.996986,2.66868,0.606873,0.840405,0.54625,12.7213
0.781237,3.92293,-0.189121,2.7447,0.309434,0.996274,1.85656,0.615404,1.34106,0.974967,18.2349
0.846746,4.31148,-0.292233,2.81212,0.309063,0.99312,1.81805,0.619766,1.17842,0.843223,13.672
0.701525,3.70872,0.328989,3.34103,0.298583,0.997085,1.87084,0.624184,1.15027,0.91333,11.0458
0.601403,3.33734,0.541321,3.02958,0.287223,0.96958,2.23516,0.603658,0.873661,0.526982,8.56205
0.65559,2.88517,0.637678,2.04908,0.290739,0.993773,1.96372,0.621225,0.892901,0.601369,17.2284
0.71506,3.56194,1.14714,3.44699,0.290725,0.983252,2.30742,0.602692,0.90357,0.227261,3.58916
0.677164,3.00673,1.17852,3.85776,0.289043,0.995063,3.09435,0.625786,0.850054,0.378835,23.3454
0.751625,3.90378,0.785649,3.93337,0.309737,0.995906,3.15074,0.62645,1.06929,0.516872,6.61731
0.709273,3.8682,1.14768,2.61869,0.305216,0.993289,2.43276,0.627911,0.91314,0.540547,8.14257
0.693195,4.07812,0.684354,4.32578,0.291581,0.991711,1.95499,0.609256,0.724343,0.0516131,12.4624
0.581472,3.42991,0.687396,3.56111,0.304796,0.972662,2.34944,0.614494,0.758531,0.213794,16.7177
0.564509,3.86661,0.718734,3.77542,0.31265,0.996779,2.43942,0.61204,0.763766,0.423091,10.4974
0.609494,3.92246,0.510826,3.20613,0.315826,0.998992,2.12438,0.60573,0.878701,0.468008,36.9974
0.756036,3.19521,-0.361887,3.97728,0.303129,0.995147,2.28515,0.600058,0.758657,0.412543,3.02561
0.754868,3.10405,-0.359181,3.93856,0.303017,0.995341,2.16577,0.59981,0.785275,0.409057,3.32568
0.604245,2.625,0.203134,2.522,0.307597,0.990753,1.8359,0.614955,1.10767,0.827526,7.67703
0.579696,3.08281,0.135277,2.77331,0.310307,0.990131,2.25378,0.618568,1.18743,0.9869,5.56506
0.701018,3.21233,0.293033,4.62529,0.299878,0.98753,2.6102,0.620935,1.10887,0.84132,3.49573
0.4016,2.95197,0.551415,2.41509,0.29123,0.991843,1.68972,0.614875,0.781689,0.3597,12.9517
0.617938,2.4494,0.352325,3.43513,0.28837,0.992857,2.40992,0.606389,1.08583,0.589767,9.8981
0.717878,2.77734,0.115089,2.77438,0.29807,0.985209,1.65216,0.612316,0.76297,0.263692,31.0878
0.637605,2.561,0.338589,3.27643,0.28944,0.995831,1.92204,0.608215,0.661151,0.328633,9.78897
0.653357,3.17768,0.719472,2.81169,0.286381,0.975761,2.10235,0.630081,1.05314,0.483655,18.2669
0.937754,2.71854,-0.252432,2.67668,0.281516,0.994118,1.92231,0.602291,0.912361,0.353917,6.42369
0.779528,2.82873,0.491234,2.9565,0.281412,0.981991,2.76658,0.602534,0.79308,0.434574,35.3615
0.826819,2.82842,0.431091,2.71641,0.282589,0.986276,2.48634,0.602061,0.827635,0.442594,34.9937
0.941979,4.19355,-0.413535,3.08622,0.294787,0.991897,1.78044,0.628997,0.899325,0.534538,1.91191
0.773403,3.66053,0.422028,2.89618,0.265559,0.947294,2.09558,0.624112,1.06,0.860843,8.82565
0.588288,2.44858,0.819153,3.21205,0.287451,0.988782,1.74239,0.619157,1.03859,0.357607,27.1775
0.541068,2.32906,0.941315,2.88855,0.294428,0.993682,3.21987,0.603704,0.71198,0.385329,6.16021
0.813801,3.81076,0.809337,2.91044,0.301085,0.988567,1.51753,0.627292,0.897231,0.415057,14.9715
1.16454,4.65032,-0.392257,2.49022,0.281112,0.983942,1.8964,0.632801,0.928026,0.327353,19.1235
1.31053,4.60673,-0.149302,3.13042,0.294998,0.993547,1.97232,0.605902,1.21565,0.645656,14.6734
1.03827,4.33831,-0.0637922,2.96672,0.293145,0.986745,1.8877,0.594781,1.19926,0.898246,7.50178
0.197309,1.40386,1.23471,3.31108,0.280658,0.995373,2.14976,0.617638,0.785617,0.422114,14.2624
0.527212,2.89098,0.63507,1.84258,0.299607,0.995515,1.84608,0.601854,0.787617,0.439918,17.5592
0.371743,2.89284,0.994194,2.4758,0.295034,0.998923,2.53164,0.621116,0.906534,0.337817,10.2879
0.484152,3.18954,0.0949285,2.41733,0.309317,0.998606,2.66513,0.606344,1.1111,0.404968,15.5811
0.617581,3.32704,0.0630072,1.79828,0.298958,0.99635,3.27078,0.618339,0.876485,0.550254,21.9514
0.626708,3.25025,0.550266,2.00123,0.311913,0.99418,2.2083,0.616144,0.841694,0.482432,9.06099
0.264045,2.78572,0.837409,2.87683,0.305975,0.998148,2.53666,0.625562,0.98771,0.339281,5.68289
0.242419,2.76495,0.87401,3.02765,0.302818,0.99724,2.57961,0.623601,0.985191,0.192495,4.75403
0.313784,2.30654,0.845286,2.69151,0.298479,0.982899,2.17028,0.623428,0.828094,0.587167,0.818378
0.362817,2.56928,1.21813,2.42433,0.302995,0.991362,2.65732,0.632348,1.02521,0.737711,2.75686
0.470213,2.52027,0.660759,2.72596,0.296669,0.986272,2.09134,0.601904,1.31502,1.24439,4.32016
0.424296,2.25087,0.526983,2.75356,0.289593,0.98622,1.95807,0.604193,1.28367,1.13741,2.87657
0.509912,2.56604,0.516863,2.59084,0.294264,0.979302,1.73329,0.600562,0.961042,0.86414,4.81755
0.527248,2.30107,0.781003,3.00471,0.287102,0.994504,2.7887,0.635876,0.839549,0.386847,16.676
0.20309,1.68684,1.11581,2.70117,0.283581,0.992405,2.41134,0.629337,1.07749,0.827663,8.89246
