c1,c2,c3,alpha,beta,c,s_m_s1,s_m_s2,s_m_s3,s_s1,s_s2
1.07466,2.15796,0.89615,0.805388,0.945563,6.27325,0.478508,-1.36543,7.33193,0.470411,2.26519
1.0189,2.31192,0.872625,0.794815,0.938625,6.15453,0.455603,-1.38524,7.35057,0.47641,2.15324
0.911679,2.66107,0.903648,0.730283,0.885556,5.89518,0.269586,-0.754542,7.33618,0.473846,2.155
0.92821,2.63399,0.91036,0.824809,0.936482,6.39255,0.497116,-1.3079,6.98664,0.470671,2.31353
0.942633,2.66488,0.943688,0.828472,0.941334,6.44367,0.532986,-1.32494,6.95531,0.467567,2.34114
0.925951,3.21798,1.2901,0.815755,0.989337,6.48329,0.284084,-0.656914,7.64456,0.497548,1.89449
1.07063,3.93399,0.715205,0.705932,0.811728,5.63721,0.726656,-0.798111,6.32049,0.471115,2.15953
1.09517,4.09872,0.667478,0.702072,0.81512,5.59259,0.625716,-0.570614,6.36183,0.469469,2.20208
1.11206,3.77132,0.419925,0.79197,0.918331,5.94806,0.57453,-2.0299,6.60153,0.454569,2.45563
0.439903,3.40651,1.45809,0.727736,0.845737,5.7126,0.495447,-0.439398,7.01359,0.46851,2.09357
0.391811,3.33806,1.45946,0.771658,0.912015,5.84897,0.645336,-0.414237,7.24725,0.463419,2.25458
0.396031,3.35196,1.4514,0.780292,0.905677,5.89811,0.55666,-0.436051,7.21514,0.467202,2.22652
0.490273,3.7142,1.17644,0.716681,0.838187,5.80405,0.472395,-0.357961,7.72781,0.467591,2.16626
0.637886,3.86869,0.914685,0.776472,0.925802,5.95367,0.51499,-1.26343,7.00107,0.486139,2.06051
0.723503,4.06677,0.606566,0.797402,0.953386,5.82378,0.45735,-0.526006,7.02305,0.488573,1.95243
0.688405,4.09189,0.738175,0.77068,0.921162,6.13786,0.525891,-0.534677,7.45085,0.485054,2.05174
0.722141,4.24864,0.616485,0.749601,0.88851,5.67676,0.500796,-0.99104,6.73173,0.472623,2.33379
0.877078,4.37562,0.604953,0.76603,0.914444,6.31029,0.565033,-1.75437,6.4299,0.459547,2.32197
0.859776,4.47841,0.60403,0.79524,0.937686,5.9645,0.695184,-1.09997,6.19095,0.464437,2.40456
0.881502,4.42115,0.740043,0.755549,0.894088,6.28548,0.624763,-1.87037,6.20171,0.454048,2.41554
0.859222,4.75444,0.632601,0.784899,0.925568,5.92379,0.653767,-2.08907,6.3443,0.471833,2.26487
0.954837,4.64367,0.390613,0.748379,0.911202,6.09205,0.442579,-1.02561,7.2419,0.488259,1.9177
0.896892,4.41592,0.865764,0.77601,0.919542,5.81227,0.563907,-1.70881,6.68991,0.493156,2.08851
0.893789,4.26626,0.943476,0.744832,0.882894,5.95828,0.504472,-0.862978,6.94354,0.490112,1.90588
0.920789,4.31784,0.909176,0.768369,0.898865,5.76818,0.476792,-0.701768,7.05109,0.485213,2.21128
0.807613,4.13538,1.01726,0.724435,0.875878,5.92456,0.500732,-1.67513,6.65292,0.483051,1.83932
0.850931,4.35079,1.14382,0.749972,0.886086,5.60361,0.521209,-0.72326,6.72044,0.488459,2.16694
0.856484,4.65245,1.21465,0.767836,0.904192,6.02946,0.444382,-2.17053,6.7024,0.466396,2.17527
0.911327,4.66331,1.16271,0.764125,0.916021,6.0602,0.553458,-1.58922,6.67162,0.478358,2.18618
0.894259,4.66762,1.11175,0.758582,0.882538,5.97785,0.67639,-1.85718,6.80726,0.474726,2.19548
0.919367,4.22644,1.10186,0.769136,0.902539,5.81114,0.428679,-0.941987,6.78754,0.462616,2.20407
0.943692,4.22826,1.07148,0.762574,0.913189,5.85284,0.427188,-0.860467,6.79075,0.462865,2.18166
0.978049,4.52391,1.14666,0.764679,0.90528,6.04536,0.494186,-1.65768,6.94337,0.456577,2.37837
1.00065,4.64646,0.966993,0.817562,0.965872,6.17811,0.582921,-0.95027,6.78389,0.48329,2.08575
1.00564,4.74603,1.00855,0.79893,0.973569,6.14264,0.684618,-0.657147,6.65929,0.487824,1.96579
0.96614,4.38416,1.04015,0.787918,0.928164,6.24762,0.491958,-2.54296,6.6638,0.466335,2.10273
0.839555,3.82513,0.877399,0.798995,0.958957,6.11756,0.523343,-0.487434,7.47317,0.48489,2.15497
0.924523,4.09938,0.908275,0.708213,0.847351,6.13905,0.299266,-1.31774,7.23211,0.456292,2.42826
0.842523,4.17822,0.686575,0.740985,0.88798,5.75329,0.753292,-0.706732,6.67334,0.479293,2.13154
0.896809,4.11523,0.738201,0.768706,0.909064,6.12831,0.281602,-1.83743,7.12151,0.459392,2.18929
0.900657,4.1587,0.739386,0.83901,0.955544,6.27087,0.587059,-0.751732,6.77058,0.454614,2.47657
0.937934,4.30229,0.599625,0.829592,0.978326,6.30348,0.560067,-0.617753,7.26303,0.450572,2.46011
0.767275,4.22902,1.03599,0.867795,0.989126,6.48547,0.420361,-1.44849,6.97565,0.493199,1.99296
0.93743,4.08173,0.752025,0.738152,0.857826,5.80799,0.493185,-0.780312,6.90369,0.474519,2.24274
0.895236,4.03718,0.890232,0.761897,0.888954,5.77084,0.358962,-0.743343,7.18663,0.470435,2.25028
0.816069,3.64523,1.23639,0.830035,0.986018,6.48107,0.283769,-0.600266,7.43375,0.480069,2.15855
0.697181,3.52771,1.45882,0.816462,0.965177,6.22029,0.378559,-0.619779,7.0632,0.480399,2.10795
0.766697,3.48261,1.3813,0.826818,0.967364,6.15614,0.331969,-0.980089,7.20751,0.48574,2.23898
0.748261,3.58613,1.28449,0.81292,0.972779,6.24471,0.212925,-1.16249,7.35383,0.490225,2.02861
0.740283,3.44114,1.32661,0.802277,0.964815,6.11533,0.186258,-0.497092,7.71036,0.487022,1.98492
0.81845,3.85639,1.10448,0.756164,0.890397,6.13568,0.240677,-0.595337,7.61557,0.485239,2.03021
0.648182,3.66277,1.32899,0.802228,0.956888,6.12579,0.445484,-0.782834,6.77435,0.479339,2.02811
0.736594,3.70533,1.10822,0.828025,0.947524,6.17012,0.582799,-0.583496,7.09874,0.477673,2.17056
0.726431,3.69691,1.15264,0.811527,0.948395,6.17184,0.603503,-0.632728,6.99634,0.475558,2.13259
0.841042,4.2086,0.83647,0.779437,0.907803,5.9058,0.247097,-1.05388,7.13324,0.464575,2.26215
0.908433,4.15429,0.840218,0.829879,0.963183,6.39817,0.505422,-0.609434,7.05214,0.477321,2.07997
0.949858,4.0659,0.826955,0.839305,0.967166,6.61938,0.476221,-0.688983,6.86096,0.471065,2.22413
0.860335,3.92213,1.2659,0.820478,0.988199,6.13585,0.199338,-0.468379,7.57614,0.467867,2.41837
0.821192,3.55139,1.25827,0.798249,0.960002,6.33072,0.211828,-0.383387,7.73253,0.472739,2.12832
0.818334,3.43132,1.26367,0.820223,0.947351,6.21803,0.214939,-0.650474,7.50706,0.485111,2.18651
0.934247,3.85618,0.821408,0.793792,0.958983,5.82794,0.471422,-0.657575,6.92953,0.467709,2.17005
0.867015,3.87784,0.994478,0.758237,0.92478,6.25041,0.263929,-1.01101,7.17883,0.46872,2.00045
0.918688,4.23388,0.966796,0.810807,0.961308,6.02203,0.24613,-0.588384,7.43352,0.472676,2.30657
1.01815,4.5847,0.743714,0.816507,0.969085,6.37568,0.233262,-0.750557,7.39775,0.46759,2.38432
0.994632,4.26009,0.776989,0.800579,0.975746,6.10481,0.70601,-1.04041,6.82658,0.484691,1.93504
0.891076,4.11554,1.09186,0.752242,0.94033,5.99027,0.333521,-1.17427,6.83956,0.482068,2.00143
0.87426,4.06933,1.10204,0.758816,0.921212,5.97167,0.357114,-1.29301,6.97319,0.480623,2.0066
0.827008,4.36159,0.961109,0.769982,0.883942,5.80445,0.220127,-0.97892,7.40286,0.472444,2.27999
0.813995,4.42017,0.986924,0.741734,0.88027,5.85235,0.232192,-0.674142,7.50029,0.458913,2.24494
0.786842,4.33607,1.04496,0.757109,0.888363,5.83675,0.325188,-0.772851,7.40658,0.474549,2.31022
0.770812,4.45291,1.50549,0.77439,0.933395,5.96906,0.402644,-1.13417,6.95499,0.498691,1.79822
0.706785,4.12687,1.57809,0.802184,0.956389,6.18796,0.443436,-0.701023,7.15138,0.502166,1.68272
0.768891,4.18888,1.43472,0.79528,0.962367,6.3036,0.593129,-0.57463,7.02151,0.496389,1.84717
0.748508,3.99911,1.42988,0.751438,0.904431,6.1509,0.208183,-0.914464,7.57777,0.473127,2.14709
0.690167,4.0191,1.50121,0.76889,0.920956,5.82965,0.248729,-0.885118,7.25509,0.48782,2.11866
0.749277,3.97231,1.28407,0.771927,0.938176,6.18619,0.514619,-1.68841,6.81773,0.467024,2.21049
0.753494,3.95721,1.17724,0.799733,0.958471,6.42686,0.531521,-1.03341,6.33041,0.482272,2.21238
0.738078,4.0724,1.05768,0.829326,0.979873,6.07671,0.535528,-1.51457,6.80368,0.482149,2.04721
0.889519,4.11427,0.731184,0.827527,0.980629,6.29522,0.325307,-0.605057,7.37936,0.452878,2.35604
0.865232,4.00759,0.639729,0.869058,0.992424,6.37638,0.405174,-1.46664,6.95193,0.464247,2.42729
0.858962,3.91361,0.757427,0.814847,0.966291,6.35672,0.43323,-1.04384,6.82115,0.450875,2.23703
0.795421,3.8176,1.25205,0.878796,0.996221,6.65346,0.332412,-0.838419,7.11049,0.465051,2.3066
0.866743,3.65832,1.03721,0.802903,0.946161,6.21194,0.282622,-0.658386,7.45449,0.467491,2.40303
0.875124,3.71923,1.09154,0.781357,0.930949,6.3337,0.344918,-0.444643,7.49345,0.470774,2.36949
0.912931,3.92117,1.00334,0.794815,0.916533,5.90051,0.469075,-0.56686,7.41108,0.461472,2.19476
1.03138,4.02261,0.839753,0.762252,0.91203,5.93297,0.336565,-0.463602,7.26958,0.478717,1.9663
1.03327,4.10461,1.03819,0.810365,0.960228,6.06629,0.449585,-0.96161,6.93395,0.494001,1.92995
1.00896,4.11497,1.11066,0.817862,0.981585,6.39666,0.608235,-0.426154,7.1799,0.484858,2.049
1.07388,4.20006,0.963473,0.812304,0.965754,6.44674,0.668291,-0.320141,7.19677,0.483891,2.05072
1.10238,4.40452,0.981595,0.809984,0.979465,6.19248,0.449746,-0.851481,6.94876,0.49452,2.04038
1.12428,4.52636,0.816769,0.795901,0.927078,6.42752,0.585002,-0.495148,7.30215,0.486837,2.10302
0.935463,4.21879,1.34016,0.822522,0.975685,6.02386,0.338212,-0.702245,7.45735,0.488663,2.11183
1.00418,4.40063,1.35068,0.765271,0.912213,5.92015,0.348995,-0.899866,7.23328,0.483014,1.87684
1.07778,4.5304,1.19192,0.791084,0.956222,6.07951,0.549673,-1.09154,6.87959,0.493128,2.1728
1.12604,4.50148,0.933456,0.773579,0.955977,6.17413,0.454774,-0.845207,7.13545,0.501197,1.7504
0.997227,4.68424,1.08129,0.793471,0.980571,6.08154,0.363972,-1.01969,7.0641,0.495854,1.79147
1.02568,4.71336,0.870105,0.782663,0.954751,6.09468,0.251672,-0.608238,7.57095,0.504765,1.67087
1.07443,4.64486,0.721552,0.772969,0.942195,6.09057,0.214283,-0.599875,7.82773,0.501348,1.75583
1.09967,4.64763,0.70884,0.787531,0.958932,6.29656,0.235836,-0.580264,7.66707,0.500373,1.73948
1.05546,4.7188,0.78475,0.824944,0.970802,6.07557,0.23048,-1.57436,7.14022,0.474145,2.04041
1.14526,5.03832,0.5733,0.72398,0.852908,5.99936,0.399131,-0.73057,7.08802,0.492743,2.01913
1.16815,5.23743,0.425372,0.71806,0.873545,5.68094,0.386188,-1.94922,6.98602,0.482591,1.97079
0.962398,4.20676,0.959139,0.832846,0.969559,6.33928,0.408292,-0.558254,7.11338,0.473466,2.04937
0.944053,4.02144,0.914732,0.825772,0.943299,6.17459,0.39822,-0.584523,7.14943,0.458191,2.47918
0.96005,4.0162,0.951342,0.749859,0.90199,5.99523,0.208199,-0.783345,7.45373,0.462003,2.23412
1.05911,3.97566,0.943895,0.782377,0.931105,5.9061,0.458214,-0.584008,7.12144,0.457022,2.2365
0.947532,3.63372,1.17287,0.798584,0.970577,6.29312,0.560109,-1.67598,6.40964,0.485912,2.07174
1.00752,3.65455,1.1283,0.863062,0.982588,6.66249,0.452505,-1.12961,7.12594,0.487499,1.98593
0.963492,3.5564,1.1257,0.825728,0.984372,6.25157,0.544416,-1.0681,6.6623,0.478531,2.08997
1.03431,3.616,0.926441,0.790936,0.931281,6.11514,0.387825,-0.612414,7.06321,0.484577,2.23894
1.02214,3.65867,0.91603,0.7968,0.95235,6.11508,0.813401,-0.327026,7.47746,0.482541,1.93373
1.0116,3.5592,0.971,0.808695,0.967442,6.34964,0.56614,-0.345246,7.15955,0.483803,2.02107
1.0106,3.67997,0.938272,0.813475,0.975771,6.38385,0.523048,-2.12138,6.51976,0.473709,2.1493
1.05396,3.80249,0.709185,0.794683,0.956044,5.95829,0.788042,-0.627781,6.7564,0.479744,1.83234
1.06819,3.89341,0.569501,0.800175,0.952086,6.16404,0.654116,-0.725828,6.97198,0.493067,1.76236
1.06964,3.84841,0.816609,0.799141,0.967064,6.20331,0.359289,-1.53194,7.06866,0.492602,2.02257
1.01444,4.12077,0.959724,0.74704,0.886664,5.90283,0.521696,-0.510098,7.43723,0.488849,1.84744
1.05157,4.12125,0.852512,0.753549,0.89514,5.89299,0.479946,-0.660393,7.38796,0.488692,1.75985
0.958576,3.56368,0.791946,0.81799,0.961744,6.31048,0.258918,-0.831185,7.32493,0.481171,2.14162
0.849206,3.38327,1.15382,0.807677,0.971774,6.43537,0.224849,-1.64061,7.25369,0.491485,2.10974
0.906107,3.07258,0.814464,0.769365,0.906706,5.87575,0.546444,-0.225109,7.68677,0.501684,1.84579
0.880054,2.92919,1.0992,0.752217,0.916951,5.90246,0.403728,-0.902478,7.25874,0.490394,1.98551
1.05254,3.30981,0.902194,0.796418,0.928556,6.24063,0.323307,-0.833353,7.29329,0.465118,2.27796
0.983785,3.50622,0.97509,0.805939,0.96356,6.11746,0.249709,-0.488285,7.69955,0.495108,2.03154
0.92752,3.45043,1.0127,0.816812,0.940965,6.04478,0.280671,-0.510446,7.70035,0.484032,1.98694
1.02732,3.76958,0.885763,0.829444,0.98247,6.6093,0.351481,-0.81467,7.27854,0.493344,2.19054
0.876033,3.67007,1.39682,0.827288,0.984634,6.45142,0.555809,-0.675289,6.96731,0.477559,2.23582
0.845733,3.51751,1.40654,0.812834,0.946316,6.43058,0.392719,-0.565028,7.0206,0.478868,2.34059
0.896868,3.85229,1.35016,0.820478,0.947084,6.11502,0.712656,-0.409934,7.15892,0.471962,2.08718
0.951939,3.82557,1.29971,0.788177,0.971486,6.22714,0.68062,-0.369721,6.90427,0.467222,2.01889
0.860431,3.78482,1.33582,0.862173,0.983749,6.43471,0.459989,-0.491139,7.46635,0.487114,2.18832
0.901909,3.66982,1.39901,0.838866,0.98276,6.29997,0.520498,-0.398847,6.93238,0.474024,2.1619
0.747807,3.37275,1.67323,0.824324,0.987325,6.54691,0.432133,-1.80873,6.79999,0.483485,2.09759
0.712114,3.32215,1.39936,0.844637,0.977427,6.2416,0.606103,-0.947905,6.69175,0.45791,2.32347
0.750619,3.38679,1.33458,0.819314,0.963307,6.28185,0.430519,-0.758002,6.98878,0.476174,2.09867
0.6632,2.86236,1.31674,0.846765,0.995087,6.56469,0.559698,-0.368077,7.26265,0.462927,2.38315
0.676247,2.99385,1.336,0.84969,0.987066,6.44876,0.405333,-0.472048,7.47919,0.469043,2.10983
0.841112,3.3946,1.16766,0.78931,0.950951,5.96431,0.360858,-1.31001,6.97399,0.481594,2.13623
0.875982,3.57545,1.10532,0.82389,0.966295,6.04281,0.333296,-0.722124,7.27428,0.485996,2.19741
0.923418,3.71955,0.964317,0.806524,0.953048,6.43268,0.3941,-0.382317,7.3516,0.462118,2.22426
0.812889,3.75428,1.14387,0.790924,0.955773,5.96084,0.316496,-1.20097,7.17239,0.483578,2.04512
0.945922,3.8165,0.972773,0.79573,0.96707,6.41469,0.532798,-0.811363,6.87947,0.458248,2.15608
1.03079,4.0708,0.829748,0.837149,0.973884,6.29953,0.343228,-0.647864,7.33118,0.46935,2.24781
1.17354,4.28152,0.775691,0.739568,0.896999,6.09084,0.188139,-0.787971,7.62798,0.470539,2.12953
1.07801,4.0444,0.893635,0.80215,0.944275,5.93777,0.321723,-0.478171,7.72938,0.48317,2.16242
0.901141,3.48071,1.16768,0.796331,0.941964,6.30194,0.139411,-0.691686,7.70963,0.459207,2.43521
0.879239,3.55294,0.868323,0.845566,0.971912,6.0921,0.179485,-0.622996,7.59193,0.460641,2.45479
0.679572,3.1741,1.35086,0.809256,0.943386,6.62676,0.519396,-0.520676,7.28413,0.467143,2.12666
0.595532,2.98518,1.37396,0.827904,0.986202,6.12309,0.287653,-1.19117,7.09714,0.473702,2.35167
0.7017,3.05085,1.19994,0.822247,0.982482,6.44725,0.388914,-1.18897,7.18648,0.472576,2.15181
0.678474,3.18469,1.27994,0.840844,0.968865,6.43961,0.439472,-0.515127,7.09834,0.473858,2.37748
0.568639,3.27068,1.53661,0.795582,0.954456,6.17146,0.310607,-0.885897,7.3474,0.490935,1.90292
0.571691,3.21614,1.541,0.805138,0.958064,6.14705,0.294022,-0.817527,7.28832,0.494279,1.94101
0.612142,3.27828,1.28239,0.770562,0.932146,5.83158,0.301108,-0.87935,7.24438,0.475765,1.89946
0.581918,3.15338,1.12373,0.760757,0.909098,5.90166,0.431747,-0.493671,7.3267,0.492375,2.11244
0.512603,3.08057,1.53802,0.781391,0.931556,6.04667,0.537914,-0.545515,6.83392,0.473614,1.9875
0.411851,2.77806,1.85681,0.793281,0.954238,6.03286,0.236439,-0.87409,7.49677,0.468351,1.99271
0.565027,3.48749,1.57323,0.769556,0.915921,6.06421,0.637269,-0.422314,7.12547,0.448753,2.306
0.567731,3.73986,1.57789,0.792833,0.931794,6.10246,0.535065,-0.53522,6.76264,0.458618,2.29766
0.637073,3.52983,1.60922,0.800239,0.937808,6.15083,0.435954,-1.34701,6.86875,0.45535,2.31805
0.618336,3.46564,1.56109,0.805533,0.957687,6.2313,0.504651,-1.01875,6.94299,0.46304,2.39298
0.663681,3.45945,1.06829,0.8207,0.948158,6.3113,0.298728,-0.504285,7.5209,0.478014,2.224
0.533694,2.99266,1.07252,0.779407,0.937896,6.33893,0.366002,-0.497467,7.7101,0.467731,2.34922
0.298544,2.4769,1.36172,0.829854,0.960083,6.17645,0.682825,-0.764574,7.06183,0.462955,2.23315
0.281411,2.50413,1.2606,0.808291,0.948908,6.1497,0.752069,-0.614765,6.89987,0.472249,2.24809
0.378646,2.85215,1.00851,0.83413,0.960895,6.55105,0.563189,-0.608467,6.85087,0.47145,2.22434
0.522835,3.2867,0.852758,0.823342,0.963782,6.26269,0.529505,-0.673834,7.2119,0.475714,2.24906
0.333741,3.08252,1.3154,0.760266,0.906301,6.14253,0.543845,-0.591892,7.16104,0.468783,2.34339
0.403018,3.11496,1.13627,0.787632,0.927159,5.94396,0.374822,-0.915062,7.24557,0.472013,2.24105
0.394998,3.14066,1.22287,0.755118,0.905302,6.26291,0.426782,-0.550216,7.26482,0.467718,2.45807
0.395333,3.01583,1.19753,0.818868,0.971105,6.079,0.611107,-0.754155,7.05629,0.447592,2.27054
0.47616,3.17858,1.06671,0.803517,0.947733,6.0229,0.44929,-0.641419,7.15615,0.456791,2.2162
0.411016,2.99112,1.63691,0.821786,0.975301,6.12823,0.407596,-0.570951,7.14812,0.467428,2.17092
0.440693,3.14655,1.66166,0.813394,0.984056,6.367,0.338675,-0.676641,7.55496,0.465021,2.42691
0.47082,3.06712,1.28634,0.810057,0.965998,6.28119,0.529422,-0.352216,7.539,0.477644,2.07459
0.488552,3.06312,1.34778,0.816528,0.960859,6.34232,0.516929,-0.257191,7.4962,0.47805,2.1589
0.578038,3.21662,1.20216,0.81325,0.970085,5.93266,0.513717,-0.429221,7.28429,0.467968,2.21108
0.470302,2.67003,1.31557,0.788435,0.9394,6.28851,0.462053,-0.256096,7.67534,0.490254,1.83907
0.458271,2.74991,1.18521,0.812755,0.975111,5.9688,0.529329,-1.1651,6.90037,0.495972,2.04384
0.448241,2.87321,1.29698,0.80709,0.950449,6.38732,0.507919,-0.515018,7.00717,0.476034,2.09639
0.391786,3.15867,1.14454,0.801365,0.962692,5.9753,0.729973,-0.616003,6.49838,0.497616,1.94545
0.436116,3.27459,0.877664,0.807789,0.971589,6.38083,0.536433,-0.688023,6.9258,0.476576,2.26543
0.446448,3.07338,1.05948,0.814247,0.943243,5.88981,0.755057,-0.587595,6.80695,0.478277,2.22138
0.498208,2.93501,0.700676,0.815965,0.948605,6.45531,0.628245,-0.355077,6.89739,0.461891,2.29976
0.390402,2.91428,0.702341,0.791353,0.947442,6.02197,0.626003,-1.13421,6.77247,0.479046,2.20928
0.446686,2.93956,0.605733,0.783299,0.940292,6.09713,0.583124,-1.198,6.71927,0.476078,2.12179
0.463785,3.31083,0.946068,0.796024,0.936271,6.16106,0.718906,-0.648977,6.66605,0.457539,2.46181
0.429526,3.27791,0.920547,0.76486,0.897763,6.02367,0.713967,-0.211476,6.73644,0.473912,2.21491
0.529385,3.49046,1.20123,0.728189,0.873467,5.72368,0.500462,-2.2264,6.65674,0.470535,2.20477
0.640704,3.31657,0.791387,0.71269,0.842974,5.75898,0.705581,-1.03671,6.15955,0.470924,2.24484
0.588641,3.25617,1.00018,0.755257,0.922777,5.76508,0.644275,-0.858286,6.14454,0.474927,1.98656
0.552497,3.10492,1.31076,0.752847,0.916312,6.00874,0.525861,-0.665201,6.77758,0.471398,2.03828
0.50382,2.94904,1.43613,0.776394,0.926873,5.93709,0.621357,-0.699522,6.67377,0.474571,1.90944
0.454426,2.92884,1.43843,0.76304,0.889612,5.77427,0.500182,-0.737303,6.96557,0.500576,1.99735
0.500143,2.98687,1.36505,0.803498,0.962548,6.03033,0.468711,-0.63875,6.98872,0.471383,2.11964
0.473901,2.98176,1.30597,0.813026,0.916067,5.9115,0.643083,-0.422712,7.08205,0.480922,2.22838
0.46433,3.32305,1.28512,0.775168,0.943523,6.30652,0.503136,-0.960868,6.75924,0.47833,2.26624
0.379496,3.29668,1.66388,0.834144,0.98865,6.12067,0.404985,-0.711583,7.18746,0.49779,1.89992
0.414705,3.38296,1.56602,0.788641,0.911969,6.22883,0.278794,-0.91005,7.29815,0.497765,1.90671
0.34157,2.89366,1.70844,0.811218,0.93936,5.93918,0.379428,-0.565209,7.3129,0.478195,2.02167
0.3499,2.98713,1.52394,0.815689,0.951752,6.37639,0.349825,-0.620733,7.38419,0.477457,2.15022
0.071975,1.8096,1.98489,0.816881,0.957309,6.15124,0.705447,-0.339994,7.34982,0.467131,2.2881
0.0861472,2.06527,2.11774,0.83366,0.979717,6.36953,0.580666,-0.29219,7.2037,0.478556,2.19661
0.252707,2.38989,1.54279,0.84854,0.986472,6.5132,0.4967,-1.2882,6.543,0.461925,2.42092
0.247338,2.41603,1.6278,0.780851,0.951226,6.31166,1.03245,-0.676488,6.41009,0.457254,2.24453
0.210022,2.21337,1.66821,0.783911,0.945289,5.907,0.602003,-0.829446,6.17924,0.451141,2.4731
0.170345,2.27396,1.73162,0.778439,0.925498,5.87755,0.779987,-0.854291,6.3278,0.454961,2.31251
0.124645,2.34356,2.07025,0.761846,0.923731,6.05839,0.700832,-0.404151,7.14123,0.47452,2.23056
0.146915,2.41026,2.00806,0.792636,0.926947,6.17979,0.551103,-0.4341,7.25926,0.477019,2.18642
0.257953,2.60466,1.78375,0.794811,0.943587,6.11045,0.417794,-0.954304,6.99656,0.469383,2.14717
0.205924,2.5111,1.81249,0.806516,0.953347,6.13458,0.425671,-1.57042,7.17269,0.470538,2.2101
0.402146,3.15234,1.18168,0.75807,0.916631,6.33845,0.841952,-0.334583,6.50851,0.49067,2.01145
0.394928,2.96067,1.20221,0.774277,0.926462,5.78753,0.581565,-0.393085,6.6253,0.494629,1.91861
0.49482,2.4727,1.06971,0.768554,0.927924,5.90641,0.566689,-1.01223,7.05226,0.470932,2.11295
0.549379,2.53828,1.01067,0.788223,0.914736,6.10798,0.42644,-0.372829,7.41799,0.476544,2.22376
0.540486,3.03931,1.2865,0.816261,0.942744,6.19367,0.309625,-2.06193,7.10736,0.471137,2.27534
0.678981,3.36348,1.11828,0.774599,0.940943,6.10785,0.315724,-1.20451,7.17607,0.475911,2.18812
0.686839,3.55186,1.17252,0.786589,0.930839,5.98017,0.221241,-1.31665,7.2317,0.463588,2.36504
0.60023,3.58318,1.34807,0.798588,0.932703,6.32249,0.436956,-0.283689,7.73247,0.47446,2.10911
0.477101,3.15159,1.41963,0.789979,0.932851,5.98564,0.342037,-0.916263,7.1747,0.483212,2.08958
0.481597,3.46939,1.48049,0.812554,0.960805,6.12697,0.389227,-0.471281,7.49714,0.479197,2.25555
0.672541,3.31839,0.813395,0.809422,0.927238,6.3345,0.465169,-0.707466,7.19704,0.476644,2.26265
0.593077,3.4081,1.23679,0.819647,0.970683,6.26489,0.511413,-0.878933,6.65927,0.483022,2.16119
0.636244,3.1325,1.3901,0.808237,0.942488,6.19748,0.358957,-0.855169,7.25542,0.478201,2.23605
0.631598,3.10698,1.37761,0.7723,0.952889,6.18269,0.323152,-0.635194,6.96564,0.474077,2.27168
0.712718,3.74194,1.06361,0.820488,0.977275,6.37481,0.460196,-0.65639,7.69647,0.482831,2.01723
0.713843,3.37026,1.30082,0.845404,0.949473,6.53158,0.687959,-0.752867,6.40897,0.475049,2.25576
0.666755,3.44592,1.34969,0.797414,0.901173,5.89523,0.384454,-2.04275,6.84714,0.469193,2.13768
0.68625,3.3584,1.24679,0.760276,0.874009,5.73602,0.366088,-0.74609,7.21257,0.481387,2.06811
0.684367,3.32868,1.48126,0.737148,0.90007,5.92718,0.28266,-0.704296,7.23243,0.475871,2.27942
0.65675,3.27071,1.50372,0.784112,0.925193,6.05894,0.378031,-0.805571,7.26185,0.473186,2.16633
0.692168,3.21991,1.30112,0.762852,0.911046,6.03387,0.363963,-0.855577,7.34525,0.444982,2.50689
0.605014,3.12377,1.51161,0.798276,0.925495,6.15118,0.389993,-0.42161,7.29256,0.45437,2.43293
0.707249,3.21396,1.18427,0.802302,0.956481,6.07717,0.345329,-0.717166,7.2467,0.46119,2.18773
0.670221,2.98996,1.21485,0.75078,0.874195,6.09014,0.321397,-0.701188,7.22702,0.47624,2.36332
0.655247,3.01921,1.13616,0.811134,0.959846,6.07863,0.465594,-0.542598,7.0179,0.468606,2.18758
0.574695,3.19311,1.55892,0.748538,0.859689,5.54502,0.239639,-0.793488,7.33665,0.468051,2.10427
0.667973,3.30653,1.4995,0.722291,0.873056,5.9203,0.389449,-0.620355,7.42394,0.476377,2.28498
0.566796,3.3161,1.71923,0.768385,0.898766,5.76426,0.250193,-0.527791,7.41775,0.488705,1.90361
0.641337,3.22561,1.29036,0.738017,0.885374,5.97479,0.437383,-0.992609,6.85168,0.47963,2.19238
0.591223,3.16282,1.17687,0.75151,0.89417,5.6831,0.500028,-0.874859,7.06694,0.482102,2.11
0.611541,2.86345,1.05814,0.76728,0.915384,6.03499,0.432509,-0.33036,7.62092,0.484437,2.19223
0.586479,2.84178,1.07962,0.795364,0.929929,5.91176,0.267872,-0.440606,7.6133,0.478836,2.2086
0.579725,3.11878,0.904985,0.732412,0.883305,5.67752,0.183697,-0.488275,8.39646,0.500797,1.87536
0.564089,2.78676,1.02489,0.792029,0.932,6.2338,0.388176,-0.51732,7.95444,0.485909,1.97021
0.573785,2.86345,1.08189,0.706167,0.843746,5.69401,0.826033,-0.828916,7.04164,0.47979,1.95996
0.585064,3.13525,1.45049,0.746622,0.878605,5.75579,0.490285,-1.10119,6.25092,0.471638,2.21095
0.647863,3.2465,1.30978,0.771977,0.909515,6.05578,0.534633,-1.20425,7.29682,0.474831,2.04932
0.784467,3.55867,0.957964,0.778294,0.955724,6.13296,0.562297,-0.731326,7.29133,0.480512,1.93337
