c1,c2,c3,mu_c,alpha,beta,sigma_c,s_m_r,s_r1,s_r2
0.717859,1.49779,0.540374,1.37852,0.504603,0.862648,1.81783,0.46283,0.521034,1.47177
0.798487,1.53232,0.330582,2.6845,0.549207,0.926571,1.49807,0.579876,0.557692,1.23339
0.727331,1.44491,0.384146,2.37288,0.560702,0.926563,1.40289,0.620835,0.554915,1.20443
0.329045,1.36132,0.981496,2.48587,0.414213,0.703867,1.72347,0.463244,0.533827,1.37387
0.248184,1.08309,0.726135,1.60012,0.449262,0.919213,0.994769,0.629688,0.578304,0.95351
0.770027,1.62731,0.231176,2.65384,0.441715,0.943783,1.36947,0.469481,0.571812,0.991186
0.577629,1.28142,0.420622,1.70842,0.607945,0.972244,1.50914,0.595001,0.559889,1.14836
0.309515,1.01493,0.917509,1.90448,0.427526,0.963844,1.38419,0.461524,0.537414,0.945263
0.176034,0.698026,0.851149,1.82782,0.561182,0.881184,1.36211,0.67431,0.53084,1.483
-0.0254022,0.694319,1.12699,2.69076,0.532589,0.873014,1.71187,0.597876,0.541122,1.4747
0.101979,0.912334,1.01726,1.85071,0.578441,0.919964,2.09034,0.535068,0.530418,1.46308
-0.0329062,0.737158,1.34105,3.10533,0.569749,0.914999,2.20116,0.659054,0.556219,1.38169
-0.0362751,0.828588,1.00001,1.77746,0.567981,0.954508,1.53375,0.496874,0.512761,1.38994
0.220279,1.16695,0.730722,2.71307,0.510128,0.929159,1.78061,0.702946,0.530685,1.16582
0.0186943,0.852056,0.751206,2.08861,0.511279,0.853472,2.21126,0.46636,0.562369,1.29452
0.313441,1.15908,0.565796,2.34714,0.53743,0.908173,1.5296,0.698356,0.56821,1.2587
0.365283,1.05466,0.407467,2.31873,0.584254,0.955115,1.87262,0.577131,0.539779,1.40698
0.457873,1.17603,0.157935,2.17975,0.585734,0.979821,1.96001,0.649331,0.535803,1.27589
0.116862,1.20402,0.78269,1.74192,0.469352,0.775968,1.50473,0.550328,0.552998,1.33343
0.107131,1.22067,0.708817,1.7536,0.477145,0.731742,1.49731,0.539789,0.546347,1.30843
0.091962,1.50229,1.556,2.37077,0.633898,0.941077,1.74934,0.754378,0.544596,1.35093
0.199994,1.54151,1.38368,2.55271,0.511572,0.874445,1.64449,0.69768,0.547992,1.1884
0.0611172,1.37154,1.43326,1.85089,0.330708,0.598565,1.58198,0.801232,0.543687,1.20537
0.255772,1.46847,1.42986,2.14744,0.272084,0.493254,1.75267,0.7182,0.58607,1.13261
0.302732,1.56352,1.00982,1.8013,0.534993,0.87949,1.59733,0.720514,0.533276,1.47611
0.0373327,0.883123,1.1034,2.04658,0.482336,0.844478,2.15908,0.683715,0.549254,1.18508
0.129862,1.02073,0.830581,2.1904,0.483706,0.902997,1.30959,0.460223,0.557093,0.950253
0.326802,1.19711,0.897732,2.18639,0.52791,0.884239,1.55544,0.596759,0.548155,1.40609
0.341652,1.13731,0.861852,2.09805,0.502744,0.880064,1.52723,0.440353,0.560738,1.19498
0.598361,1.31747,1.05096,1.69504,0.556365,0.947115,1.86822,0.568472,0.534509,1.34974
0.565435,1.1571,0.526316,2.69477,0.512336,0.916272,1.92033,0.512866,0.543162,1.26489
0.519989,1.12772,0.4348,2.49419,0.572078,0.880349,1.85079,0.390917,0.581162,1.13879
0.413959,1.13287,0.619772,2.40912,0.426514,0.81588,2.14118,0.599801,0.54273,1.1964
0.322003,1.09864,0.757203,2.12067,0.58948,0.889625,1.86701,0.490008,0.541264,1.22266
0.442157,1.30603,1.04198,2.16729,0.580101,0.888221,1.78098,0.548491,0.544693,1.18912
0.456294,1.12151,0.305447,2.39682,0.618771,0.953102,2.2747,0.597532,0.536215,1.38403
0.247149,1.17326,1.01063,2.429,0.499847,0.928607,1.97897,0.467067,0.53278,1.27237
0.0979423,1.1126,1.20317,2.24568,0.561804,0.989776,1.24901,0.538944,0.553468,1.33798
0.345798,1.13335,0.646224,1.94618,0.442902,0.801763,1.59558,0.456457,0.54464,1.50772
0.462899,1.11438,0.767788,2.05976,0.590221,0.967046,1.76446,0.569799,0.555301,1.43193
0.4909,1.20728,0.759614,2.53278,0.610201,0.966094,1.5307,0.459504,0.541992,1.23468
0.491291,1.13907,0.816374,2.36961,0.565851,0.970862,1.52067,0.476137,0.567262,1.31728
0.770004,1.60905,0.340443,1.93255,0.534811,0.884531,1.92522,0.550505,0.501421,1.33669
0.807591,1.5844,0.0683136,2.08982,0.515371,0.825719,1.9368,0.994149,0.516105,1.56749
0.864525,1.48697,-0.271039,1.95791,0.555857,0.892169,1.73124,0.460228,0.550445,1.25162
0.29449,1.08587,0.886381,2.42931,0.618262,0.947204,1.97851,0.487984,0.528652,1.38392
0.258681,1.1534,0.947982,1.74285,0.519418,0.852534,2.02376,0.530207,0.535867,1.43922
0.554455,1.47527,0.484798,2.46034,0.545811,0.95983,2.00896,0.56765,0.546118,1.3966
0.39729,1.2131,1.00148,2.07651,0.586122,0.938596,1.56563,0.421377,0.56382,1.29512
0.372681,1.14097,1.32666,2.72637,0.570881,0.975057,1.88042,0.60003,0.546067,1.28273
0.379669,1.43152,1.01938,2.11737,0.630703,0.996589,1.96716,0.577662,0.531466,1.45179
0.336175,1.32509,1.19522,2.12891,0.592349,0.997238,1.93037,0.647413,0.525463,1.40521
0.358718,1.40205,1.1261,2.17381,0.60629,0.996746,1.59341,0.7329,0.520241,1.38574
0.0705968,0.993935,1.85876,2.60397,0.477051,0.802886,1.84192,0.527583,0.550924,1.40062
0.0206666,0.877609,1.88049,2.13024,0.574672,0.886667,1.60664,0.571681,0.548864,1.25034
0.38576,1.38115,1.37148,2.08304,0.519004,0.826176,1.67034,0.592513,0.550749,1.30932
0.32633,1.42028,1.26495,1.6536,0.426246,0.797546,1.34234,0.601778,0.571881,1.13358
0.358414,1.3294,1.36966,2.26293,0.405838,0.825582,1.07082,0.578643,0.558064,1.00676
0.654644,1.35445,0.491915,1.14248,0.518543,0.919731,1.96263,0.592142,0.539189,1.35051
0.463448,1.36061,0.660936,1.40558,0.590652,0.92701,2.07277,0.719093,0.520329,1.49734
0.320732,1.18236,-0.0322001,1.86471,0.449666,0.787593,1.26263,0.492831,0.565889,0.917346
0.364181,1.33425,0.715607,2.54531,0.603995,0.962933,1.76541,0.638993,0.565187,1.32864
0.394101,1.32659,0.675553,3.3121,0.665773,0.948607,2.10602,0.512801,0.538597,1.53693
0.346874,1.07146,0.799275,2.12763,0.458544,0.826175,1.26312,0.625381,0.553973,1.0747
0.223078,0.841217,0.769609,2.57634,0.569387,0.93037,2.48101,0.499778,0.537341,1.43923
0.152852,0.989923,1.20614,2.1719,0.556412,0.963104,1.83451,0.598807,0.545851,1.47084
0.0714027,0.971902,1.18282,2.0889,0.547028,0.969166,1.65462,0.587299,0.532064,1.45768
0.167703,1.02218,1.3511,1.86329,0.556062,0.884191,1.82281,0.573106,0.55697,1.14972
0.211322,0.978605,0.998361,2.72173,0.565632,0.919196,2.03183,0.52911,0.519151,1.32698
0.256545,0.944888,1.16025,2.00404,0.52217,0.941321,2.21368,0.586682,0.545854,1.23801
0.581397,1.13932,0.687816,1.8761,0.524319,0.833783,1.73243,0.598408,0.532094,1.46751
0.551125,1.15408,0.258157,2.51691,0.499764,0.856769,1.45169,0.540984,0.557787,1.25463
0.616313,1.31313,0.00313972,1.38086,0.424906,0.759012,1.37594,0.488287,0.558755,1.24668
0.712769,1.36578,-0.154854,2.90047,0.476206,0.789919,1.96783,0.49601,0.555384,0.947346
0.629757,1.28514,-0.175869,1.70363,0.52444,0.976774,1.80802,0.687849,0.535884,1.20664
0.614157,1.22437,0.165634,3.02075,0.519359,0.87496,1.54014,0.623877,0.535381,1.33567
0.335422,1.2604,1.42556,1.77361,0.548043,0.900282,2.01539,0.574071,0.534819,1.29728
0.676556,1.43067,0.723275,2.46703,0.584768,0.898543,2.46593,0.484214,0.534751,1.43444
0.433341,1.03525,0.966611,2.89932,0.661979,0.981386,1.75974,0.560761,0.545105,1.56516
0.37256,1.15188,0.647206,2.05673,0.58201,0.868837,2.07597,0.433784,0.520858,1.63221
0.360813,1.23183,0.216756,2.19259,0.484581,0.874538,1.72619,0.632756,0.565291,1.06981
0.364607,1.05159,0.630406,2.627,0.54547,0.938871,2.1239,0.49115,0.563532,1.20543
0.222847,1.14518,1.20058,1.50226,0.54958,0.870303,1.144,0.471644,0.502595,1.53911
0.369185,1.14816,0.992472,2.187,0.416664,0.74728,1.62264,0.587711,0.57932,1.04522
0.31993,1.17399,1.32676,2.41424,0.66427,0.950388,2.00345,0.455199,0.527992,1.4328
0.551171,1.38478,0.906886,2.08534,0.423328,0.759633,2.00227,0.563537,0.597143,0.975623
0.502007,1.42402,0.759862,1.91009,0.479796,0.879415,1.24325,0.427311,0.527056,1.27131
0.630564,1.32339,0.42563,2.16853,0.455313,0.816787,1.82105,0.564731,0.554067,1.22789
0.213112,1.12404,1.33578,2.52947,0.54619,0.968191,1.28891,0.466901,0.5419,1.35457
0.409333,1.40718,0.960747,2.3142,0.533126,0.873981,2.01283,0.542234,0.544143,1.50124
0.233678,1.13364,1.25512,1.75391,0.513366,0.916305,1.69405,0.542688,0.548908,1.15079
0.403068,1.39643,0.71645,1.94743,0.52105,0.88162,1.61839,0.512464,0.527725,1.40315
0.361812,1.29845,0.889092,1.93091,0.526233,0.875841,1.84004,0.456897,0.540945,1.39788
